din_instante;nom_subsistema_origem;nom_subsistema_destino;val_intercambiomwmed
2024-01-01 00:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2794.053
2024-01-01 01:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2783.053
2024-01-01 02:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2853.529
2024-01-01 03:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2929.844
2024-01-01 04:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2947.045
2024-01-01 05:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2911.838
2024-01-01 06:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2808.473
2024-01-01 07:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2175.20899999
2024-01-01 08:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-1272.824
2024-01-01 09:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-5.928
2024-01-01 10:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-299.56
2024-01-01 11:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-713.072
2024-01-01 12:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-854.596
2024-01-01 13:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-1043.551
2024-01-01 14:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-883.055
2024-01-01 15:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-1108.346
2024-01-01 16:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-1688.127
2024-01-01 17:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2581.851
2024-01-01 18:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-3110.51
2024-01-01 19:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2815.549
2024-01-01 20:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2541.454
2024-01-01 21:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2753.023
2024-01-01 22:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2733.701
2024-01-01 23:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2795.449
2024-01-02 00:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2707.039
2024-01-02 01:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2652.73
2024-01-02 02:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2908.152
2024-01-02 03:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2784.827
2024-01-02 04:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2731.244
2024-01-02 05:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-2473.014
2024-01-02 06:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-1882.302
2024-01-02 07:00:00;NORDESTE;SUDESTE/CENTRO-OESTE;-1685.777
