din_instante;nom_subsistema_origem;nom_subsistema_destino;val_intercambiomwmed
2024-01-01;NORDESTE;SUDESTE/CENTRO-OESTE;-49403.63999999
2024-01-02;NORDESTE;SUDESTE/CENTRO-OESTE;-43266.13299999
2024-01-03;NORDESTE;SUDESTE/CENTRO-OESTE;-31545.216
2024-01-04;NORDESTE;SUDESTE/CENTRO-OESTE;-23747.749
2024-01-05;NORDESTE;SUDESTE/CENTRO-OESTE;-17379.261999989998
2024-01-06;NORDESTE;SUDESTE/CENTRO-OESTE;5368.82300001
2024-01-07;NORDESTE;SUDESTE/CENTRO-OESTE;7481.60499998
2024-01-08;NORDESTE;SUDESTE/CENTRO-OESTE;-13856.16500001
2024-01-09;NORDESTE;SUDESTE/CENTRO-OESTE;40315.01999998
2024-01-10;NORDESTE;SUDESTE/CENTRO-OESTE;60811.54699997
2024-01-11;NORDESTE;SUDESTE/CENTRO-OESTE;53872.09499999
2024-01-12;NORDESTE;SUDESTE/CENTRO-OESTE;39146.51699996
2024-01-13;NORDESTE;SUDESTE/CENTRO-OESTE;33972.876999960004
2024-01-14;NORDESTE;SUDESTE/CENTRO-OESTE;53368.03499999
2024-01-15;NORDESTE;SUDESTE/CENTRO-OESTE;59665.42299997
2024-01-16;NORDESTE;SUDESTE/CENTRO-OESTE;85158.255
2024-01-17;NORDESTE;SUDESTE/CENTRO-OESTE;76300.61799998
2024-01-18;NORDESTE;SUDESTE/CENTRO-OESTE;43845.06699997
2024-01-19;NORDESTE;SUDESTE/CENTRO-OESTE;22736.49699999
2024-01-20;NORDESTE;SUDESTE/CENTRO-OESTE;3128.42400001
2024-01-21;NORDESTE;SUDESTE/CENTRO-OESTE;-20906.86699999
2024-01-22;NORDESTE;SUDESTE/CENTRO-OESTE;-21954.03699998
2024-01-23;NORDESTE;SUDESTE/CENTRO-OESTE;-15255.63099998
2024-01-24;NORDESTE;SUDESTE/CENTRO-OESTE;-30148.72199998
2024-01-25;NORDESTE;SUDESTE/CENTRO-OESTE;-26023.395
2024-01-26;NORDESTE;SUDESTE/CENTRO-OESTE;6758.22499999
2024-01-27;NORDESTE;SUDESTE/CENTRO-OESTE;25799.08
2024-01-28;NORDESTE;SUDESTE/CENTRO-OESTE;31997.075
2024-01-29;NORDESTE;SUDESTE/CENTRO-OESTE;40425.762
2024-01-30;NORDESTE;SUDESTE/CENTRO-OESTE;36299.68599997
2024-01-31;NORDESTE;SUDESTE/CENTRO-OESTE;63054.28699999
2024-02-01;NORDESTE;SUDESTE/CENTRO-OESTE;96876.60199997
2024-02-02;NORDESTE;SUDESTE/CENTRO-OESTE;91924.70299999
2024-02-03;NORDESTE;SUDESTE/CENTRO-OESTE;97538.56599997
2024-02-04;NORDESTE;SUDESTE/CENTRO-OESTE;108741.88599996
2024-02-05;NORDESTE;SUDESTE/CENTRO-OESTE;113702.20299994
2024-02-06;NORDESTE;SUDESTE/CENTRO-OESTE;93614.14699998
2024-02-07;NORDESTE;SUDESTE/CENTRO-OESTE;77400.70699998
2024-02-08;NORDESTE;SUDESTE/CENTRO-OESTE;61439.55499998
2024-02-09;NORDESTE;SUDESTE/CENTRO-OESTE;59874.34999998
2024-02-10;NORDESTE;SUDESTE/CENTRO-OESTE;73910.16799998
2024-02-11;NORDESTE;SUDESTE/CENTRO-OESTE;105630.49499997
2024-02-12;NORDESTE;SUDESTE/CENTRO-OESTE;109866.67199995
2024-02-13;NORDESTE;SUDESTE/CENTRO-OESTE;93811.19799999
2024-02-14;NORDESTE;SUDESTE/CENTRO-OESTE;41628.42299999
2024-02-15;NORDESTE;SUDESTE/CENTRO-OESTE;16277.02999999
2024-02-16;NORDESTE;SUDESTE/CENTRO-OESTE;21903.96400001
2024-02-17;NORDESTE;SUDESTE/CENTRO-OESTE;10411.817
2024-02-18;NORDESTE;SUDESTE/CENTRO-OESTE;15352.44199997
2024-02-19;NORDESTE;SUDESTE/CENTRO-OESTE;5291.34
2024-02-20;NORDESTE;SUDESTE/CENTRO-OESTE;-12023.94699999
2024-02-21;NORDESTE;SUDESTE/CENTRO-OESTE;-9451.714
2024-02-22;NORDESTE;SUDESTE/CENTRO-OESTE;-9208.44899998
2024-02-23;NORDESTE;SUDESTE/CENTRO-OESTE;23306.94799998
2024-02-24;NORDESTE;SUDESTE/CENTRO-OESTE;96702.47499999
2024-02-25;NORDESTE;SUDESTE/CENTRO-OESTE;97620.58999995
2024-02-26;NORDESTE;SUDESTE/CENTRO-OESTE;78862.32199996
2024-02-27;NORDESTE;SUDESTE/CENTRO-OESTE;76770.64699997
2024-02-28;NORDESTE;SUDESTE/CENTRO-OESTE;31652.94399998
2024-02-29;NORDESTE;SUDESTE/CENTRO-OESTE;7366.565000009999
2024-03-01;NORDESTE;SUDESTE/CENTRO-OESTE;-11007.62100002
2024-03-02;NORDESTE;SUDESTE/CENTRO-OESTE;-1389.8730000000005
2024-03-03;NORDESTE;SUDESTE/CENTRO-OESTE;21709.536
2024-03-04;NORDESTE;SUDESTE/CENTRO-OESTE;10741.24799992
2024-03-05;NORDESTE;SUDESTE/CENTRO-OESTE;38448.06500001
2024-03-06;NORDESTE;SUDESTE/CENTRO-OESTE;77057.42299998
2024-03-07;NORDESTE;SUDESTE/CENTRO-OESTE;82518.26799995
2024-03-08;NORDESTE;SUDESTE/CENTRO-OESTE;82934.04699999001
2024-03-09;NORDESTE;SUDESTE/CENTRO-OESTE;56359.14599996
2024-03-10;NORDESTE;SUDESTE/CENTRO-OESTE;55311.11799996
2024-03-11;NORDESTE;SUDESTE/CENTRO-OESTE;21485.04799994
2024-03-12;NORDESTE;SUDESTE/CENTRO-OESTE;15792.55699999
2024-03-13;NORDESTE;SUDESTE/CENTRO-OESTE;43309.03999998
2024-03-14;NORDESTE;SUDESTE/CENTRO-OESTE;60933.30799999
2024-03-15;NORDESTE;SUDESTE/CENTRO-OESTE;88196.89499999
2024-03-16;NORDESTE;SUDESTE/CENTRO-OESTE;71310.33699995
2024-03-17;NORDESTE;SUDESTE/CENTRO-OESTE;60864.46499998
2024-03-18;NORDESTE;SUDESTE/CENTRO-OESTE;46454.65199995
