din_instante;nom_subsistema_origem;nom_subsistema_destino;val_intercambiomwmed
2024-01-01 00:00:00;NORTE;NORDESTE;2699.626
2024-01-01 01:00:00;NORTE;NORDESTE;2594.904
2024-01-01 02:00:00;NORTE;NORDESTE;2579.92
2024-01-01 03:00:00;NORTE;NORDESTE;2447.814
2024-01-01 04:00:00;NORTE;NORDESTE;2365.706
2024-01-01 05:00:00;NORTE;NORDESTE;2229.257
2024-01-01 06:00:00;NORTE;NORDESTE;2131.187
2024-01-01 07:00:00;NORTE;NORDESTE;1619.04
2024-01-01 08:00:00;NORTE;NORDESTE;1261.576
2024-01-01 09:00:00;NORTE;NORDESTE;645.768
2024-01-01 10:00:00;NORTE;NORDESTE;712.731
2024-01-01 11:00:00;NORTE;NORDESTE;536.772
2024-01-01 12:00:00;NORTE;NORDESTE;671.269
2024-01-01 13:00:00;NORTE;NORDESTE;734.32899999
2024-01-01 14:00:00;NORTE;NORDESTE;824.748
2024-01-01 15:00:00;NORTE;NORDESTE;845.066
2024-01-01 16:00:00;NORTE;NORDESTE;1100.44
2024-01-01 17:00:00;NORTE;NORDESTE;1811.174
2024-01-01 18:00:00;NORTE;NORDESTE;2276.572
2024-01-01 19:00:00;NORTE;NORDESTE;2878.824
2024-01-01 20:00:00;NORTE;NORDESTE;3107.705
2024-01-01 21:00:00;NORTE;NORDESTE;3018.905
2024-01-01 22:00:00;NORTE;NORDESTE;2880.939
2024-01-01 23:00:00;NORTE;NORDESTE;2783.933
2024-01-02 00:00:00;NORTE;NORDESTE;2739.217
2024-01-02 01:00:00;NORTE;NORDESTE;2886.896
2024-01-02 02:00:00;NORTE;NORDESTE;2986.456
2024-01-02 03:00:00;NORTE;NORDESTE;2909.838
2024-01-02 04:00:00;NORTE;NORDESTE;2972.859
2024-01-02 05:00:00;NORTE;NORDESTE;2810.245
2024-01-02 06:00:00;NORTE;NORDESTE;2048.129
2024-01-02 07:00:00;NORTE;NORDESTE;1239.49399999
2024-01-02 08:00:00;NORTE;NORDESTE;1161.39799999
2024-01-02 09:00:00;NORTE;NORDESTE;1021.499
2024-01-02 10:00:00;NORTE;NORDESTE;886.921
2024-01-02 11:00:00;NORTE;NORDESTE;720.821
2024-01-02 12:00:00;NORTE;NORDESTE;388.358
2024-01-02 13:00:00;NORTE;NORDESTE;554.376
2024-01-02 14:00:00;NORTE;NORDESTE;1035.352
2024-01-02 15:00:00;NORTE;NORDESTE;1251.405
2024-01-02 16:00:00;NORTE;NORDESTE;1729.257
2024-01-02 17:00:00;NORTE;NORDESTE;1866.799
2024-01-02 18:00:00;NORTE;NORDESTE;2008.702
2024-01-02 19:00:00;NORTE;NORDESTE;2168.928
2024-01-02 20:00:00;NORTE;NORDESTE;2143.772
2024-01-02 21:00:00;NORTE;NORDESTE;2417.335
2024-01-02 22:00:00;NORTE;NORDESTE;2560.964
2024-01-02 23:00:00;NORTE;NORDESTE;2528.572
2024-01-03 00:00:00;NORTE;NORDESTE;3143.61
2024-01-03 01:00:00;NORTE;NORDESTE;3239.725
2024-01-03 02:00:00;NORTE;NORDESTE;3251.012
2024-01-03 03:00:00;NORTE;NORDESTE;3346.904
2024-01-03 04:00:00;NORTE;NORDESTE;3243.873
2024-01-03 05:00:00;NORTE;NORDESTE;2747.551
2024-01-03 06:00:00;NORTE;NORDESTE;1974.574
2024-01-03 07:00:00;NORTE;NORDESTE;1602.891
2024-01-03 08:00:00;NORTE;NORDESTE;1294.74399999
2024-01-03 09:00:00;NORTE;NORDESTE;839.88199999
2024-01-03 10:00:00;NORTE;NORDESTE;421.447
2024-01-03 11:00:00;NORTE;NORDESTE;337.139
2024-01-03 12:00:00;NORTE;NORDESTE;86.399
2024-01-03 13:00:00;NORTE;NORDESTE;353.1
2024-01-03 14:00:00;NORTE;NORDESTE;347.935
