din_instante;nom_subsistema_origem;nom_subsistema_destino;val_intercambiomwmed
2024-01-01;NORTE;NORDESTE;44758.20499999
2024-01-02;NORTE;NORDESTE;45037.59299998
2024-01-03;NORTE;NORDESTE;37878.83399998
2024-01-04;NORTE;NORDESTE;31021.02499999
2024-01-05;NORTE;NORDESTE;24483.72199999
2024-01-06;NORTE;NORDESTE;-7714.506000010001
2024-01-07;NORTE;NORDESTE;2150.68899998
2024-01-08;NORTE;NORDESTE;33259.98799999
2024-01-09;NORTE;NORDESTE;6467.84600001
2024-01-10;NORTE;NORDESTE;-12800.95399995
2024-01-11;NORTE;NORDESTE;-9521.35299999
2024-01-12;NORTE;NORDESTE;9795.53200001
2024-01-13;NORTE;NORDESTE;3675.64299999
2024-01-14;NORTE;NORDESTE;-20889.25099999
2024-01-15;NORTE;NORDESTE;-20065.93399997
2024-01-16;NORTE;NORDESTE;-47905.96399999
2024-01-17;NORTE;NORDESTE;-32519.34799998
2024-01-18;NORTE;NORDESTE;4588.9220000000005
2024-01-19;NORTE;NORDESTE;23271.28499995
2024-01-20;NORTE;NORDESTE;42842.13399996
2024-01-21;NORTE;NORDESTE;39639.779
2024-01-22;NORTE;NORDESTE;55024.22099999
2024-01-23;NORTE;NORDESTE;51107.83599998
2024-01-24;NORTE;NORDESTE;51684.43999998
2024-01-25;NORTE;NORDESTE;52094.38399999
2024-01-26;NORTE;NORDESTE;18325.20599995
2024-01-27;NORTE;NORDESTE;311.94099998
2024-01-28;NORTE;NORDESTE;-1661.6550000199995
2024-01-29;NORTE;NORDESTE;-10094.35899998
2024-01-30;NORTE;NORDESTE;15818.55799999
2024-01-31;NORTE;NORDESTE;480.99500001
2024-02-01;NORTE;NORDESTE;-41705.60099999
2024-02-02;NORTE;NORDESTE;-45702.70399995
2024-02-03;NORTE;NORDESTE;-45824.97399999
2024-02-04;NORTE;NORDESTE;-61412.53199998
2024-02-05;NORTE;NORDESTE;-54449.85699994
2024-02-06;NORTE;NORDESTE;-13054.85199997
2024-02-07;NORTE;NORDESTE;8445.46399997
2024-02-08;NORTE;NORDESTE;27236.44599998
2024-02-09;NORTE;NORDESTE;32108.23
2024-02-10;NORTE;NORDESTE;7311.905
2024-02-11;NORTE;NORDESTE;-41404.26599998
2024-02-12;NORTE;NORDESTE;-64776.96699997
2024-02-13;NORTE;NORDESTE;-25103.94799998
2024-02-14;NORTE;NORDESTE;41086.30199997
2024-02-15;NORTE;NORDESTE;63710.28999998
2024-02-16;NORTE;NORDESTE;54749.95599998
2024-02-17;NORTE;NORDESTE;51173.24099998
2024-02-18;NORTE;NORDESTE;43931.83699994
2024-02-19;NORTE;NORDESTE;68788.194
2024-02-20;NORTE;NORDESTE;102586.02999998
2024-02-21;NORTE;NORDESTE;91805.05799996
2024-02-22;NORTE;NORDESTE;88291.52599995
2024-02-23;NORTE;NORDESTE;68738.37399999
2024-02-24;NORTE;NORDESTE;-30439.936
2024-02-25;NORTE;NORDESTE;-42362.53300002
2024-02-26;NORTE;NORDESTE;-7666.424
2024-02-27;NORTE;NORDESTE;14551.51600001
2024-02-28;NORTE;NORDESTE;55199.13999997
2024-02-29;NORTE;NORDESTE;77077.66299998
2024-03-01;NORTE;NORDESTE;98414.36399996
2024-03-02;NORTE;NORDESTE;83254.88599999
2024-03-03;NORTE;NORDESTE;56881.24999997
2024-03-04;NORTE;NORDESTE;85553.29599998001
2024-03-05;NORTE;NORDESTE;65940.29499996
2024-03-06;NORTE;NORDESTE;10080.60099998
2024-03-07;NORTE;NORDESTE;-10137.54700001
2024-03-08;NORTE;NORDESTE;-16655.89999998
2024-03-09;NORTE;NORDESTE;7650.788999990001
2024-03-10;NORTE;NORDESTE;15501.73599997
2024-03-11;NORTE;NORDESTE;59732.77299998
2024-03-12;NORTE;NORDESTE;71995.35899998
2024-03-13;NORTE;NORDESTE;63095.01499997
2024-03-14;NORTE;NORDESTE;31797.217
2024-03-15;NORTE;NORDESTE;-3558.03599999
2024-03-16;NORTE;NORDESTE;-4593.910000020001
2024-03-17;NORTE;NORDESTE;-2955.8950000099994
2024-03-18;NORTE;NORDESTE;36520.40999999
2024-03-19;NORTE;NORDESTE;20479.23599998
2024-03-20;NORTE;NORDESTE;43644.33799999
2024-03-21;NORTE;NORDESTE;37786.82499999
2024-03-22;NORTE;NORDESTE;33853.16399998
2024-03-23;NORTE;NORDESTE;20038.31999999
2024-03-24;NORTE;NORDESTE;-24756.00899998
2024-03-25;NORTE;NORDESTE;-2770.318999980001
2024-03-26;NORTE;NORDESTE;76580.824
2024-03-27;NORTE;NORDESTE;42891.71099998
2024-03-28;NORTE;NORDESTE;-25385.75399999
2024-03-29;NORTE;NORDESTE;-17334.85699999
2024-03-30;NORTE;NORDESTE;64028.08999999
2024-03-31;NORTE;NORDESTE;67526.15499997
2024-04-01;NORTE;NORDESTE;79318.20099997
2024-04-02;NORTE;NORDESTE;104528.39099999
2024-04-03;NORTE;NORDESTE;92413.60699998
2024-04-04;NORTE;NORDESTE;88838.12299997
2024-04-05;NORTE;NORDESTE;48965.56499998
2024-04-06;NORTE;NORDESTE;21214.16399998
2024-04-07;NORTE;NORDESTE;2364.76299999
2024-04-08;NORTE;NORDESTE;6518.10100001
2024-04-09;NORTE;NORDESTE;42896.92499999
2024-04-10;NORTE;NORDESTE;51006.01699998
2024-04-11;NORTE;NORDESTE;57299.13099999
2024-04-12;NORTE;NORDESTE;27810.43099997
2024-04-13;NORTE;NORDESTE;-14931.79899998
2024-04-14;NORTE;NORDESTE;-17431.50599999
2024-04-15;NORTE;NORDESTE;-2635.36100001
2024-04-16;NORTE;NORDESTE;-5031.74099998
2024-04-17;NORTE;NORDESTE;911.8610000199998
2024-04-18;NORTE;NORDESTE;35389.47699999
2024-04-19;NORTE;NORDESTE;30701.45699998
2024-04-20;NORTE;NORDESTE;-4811.16300001
2024-04-21;NORTE;NORDESTE;-11768.335
2024-04-22;NORTE;NORDESTE;3716.91799998
2024-04-23;NORTE;NORDESTE;40657.09199996
2024-04-24;NORTE;NORDESTE;9790.65599998
2024-04-25;NORTE;NORDESTE;357.5069999600003
