din_instante;nom_subsistema_origem;nom_subsistema_destino;val_intercambiomwmed
2024-01-01 00:00:00;SUDESTE/CENTRO-OESTE;SUL;-4762.211
2024-01-01 01:00:00;SUDESTE/CENTRO-OESTE;SUL;-4765.38
2024-01-01 02:00:00;SUDESTE/CENTRO-OESTE;SUL;-4894.218
2024-01-01 03:00:00;SUDESTE/CENTRO-OESTE;SUL;-5010.323
2024-01-01 04:00:00;SUDESTE/CENTRO-OESTE;SUL;-5195.29699999
2024-01-01 05:00:00;SUDESTE/CENTRO-OESTE;SUL;-4732.437
2024-01-01 06:00:00;SUDESTE/CENTRO-OESTE;SUL;-4349.155
2024-01-01 07:00:00;SUDESTE/CENTRO-OESTE;SUL;-3492.786
2024-01-01 08:00:00;SUDESTE/CENTRO-OESTE;SUL;-2595.044
2024-01-01 09:00:00;SUDESTE/CENTRO-OESTE;SUL;-339.74
2024-01-01 10:00:00;SUDESTE/CENTRO-OESTE;SUL;-185.616
2024-01-01 11:00:00;SUDESTE/CENTRO-OESTE;SUL;-351.009
2024-01-01 12:00:00;SUDESTE/CENTRO-OESTE;SUL;-630.369
2024-01-01 13:00:00;SUDESTE/CENTRO-OESTE;SUL;-648.583
2024-01-01 14:00:00;SUDESTE/CENTRO-OESTE;SUL;-462.474
2024-01-01 15:00:00;SUDESTE/CENTRO-OESTE;SUL;-1599.724
2024-01-01 16:00:00;SUDESTE/CENTRO-OESTE;SUL;-4013.739
2024-01-01 17:00:00;SUDESTE/CENTRO-OESTE;SUL;-4080.795
2024-01-01 18:00:00;SUDESTE/CENTRO-OESTE;SUL;-4686.22099999
2024-01-01 19:00:00;SUDESTE/CENTRO-OESTE;SUL;-4521.804
2024-01-01 20:00:00;SUDESTE/CENTRO-OESTE;SUL;-3648.771
2024-01-01 21:00:00;SUDESTE/CENTRO-OESTE;SUL;-3807.804
2024-01-01 22:00:00;SUDESTE/CENTRO-OESTE;SUL;-4318.103
2024-01-01 23:00:00;SUDESTE/CENTRO-OESTE;SUL;-4917.167
2024-01-02 00:00:00;SUDESTE/CENTRO-OESTE;SUL;-4904.352
2024-01-02 01:00:00;SUDESTE/CENTRO-OESTE;SUL;-4284.442
2024-01-02 02:00:00;SUDESTE/CENTRO-OESTE;SUL;-4750.376
2024-01-02 03:00:00;SUDESTE/CENTRO-OESTE;SUL;-5247.643
2024-01-02 04:00:00;SUDESTE/CENTRO-OESTE;SUL;-5313.611
2024-01-02 05:00:00;SUDESTE/CENTRO-OESTE;SUL;-5254.588
2024-01-02 06:00:00;SUDESTE/CENTRO-OESTE;SUL;-5591.144
2024-01-02 07:00:00;SUDESTE/CENTRO-OESTE;SUL;-5263.08
2024-01-02 08:00:00;SUDESTE/CENTRO-OESTE;SUL;-4984.018
2024-01-02 09:00:00;SUDESTE/CENTRO-OESTE;SUL;-4658.192
2024-01-02 10:00:00;SUDESTE/CENTRO-OESTE;SUL;-4498.267
2024-01-02 11:00:00;SUDESTE/CENTRO-OESTE;SUL;-4025.47
2024-01-02 12:00:00;SUDESTE/CENTRO-OESTE;SUL;-4171.35999999
2024-01-02 13:00:00;SUDESTE/CENTRO-OESTE;SUL;-4278.84599999
2024-01-02 14:00:00;SUDESTE/CENTRO-OESTE;SUL;-3374.256
2024-01-02 15:00:00;SUDESTE/CENTRO-OESTE;SUL;-3342.18
