din_instante;nom_subsistema_origem;nom_subsistema_destino;val_intercambiomwmed
2024-01-01;SUDESTE/CENTRO-OESTE;SUL;-78008.76999998
2024-01-02;SUDESTE/CENTRO-OESTE;SUL;-106262.42499998
2024-01-03;SUDESTE/CENTRO-OESTE;SUL;-104063.59199998
2024-01-04;SUDESTE/CENTRO-OESTE;SUL;-91809.24499995
2024-01-05;SUDESTE/CENTRO-OESTE;SUL;-93621.81599999
2024-01-06;SUDESTE/CENTRO-OESTE;SUL;-54810.415
2024-01-07;SUDESTE/CENTRO-OESTE;SUL;-38209.14099998
2024-01-08;SUDESTE/CENTRO-OESTE;SUL;-29334.84599999
2024-01-09;SUDESTE/CENTRO-OESTE;SUL;2198.599000020001
2024-01-10;SUDESTE/CENTRO-OESTE;SUL;-177.5649999999996
2024-01-11;SUDESTE/CENTRO-OESTE;SUL;3745.92299998
2024-01-12;SUDESTE/CENTRO-OESTE;SUL;-19368.66099997
2024-01-13;SUDESTE/CENTRO-OESTE;SUL;-41378.94399996
2024-01-14;SUDESTE/CENTRO-OESTE;SUL;27540.17299998
2024-01-15;SUDESTE/CENTRO-OESTE;SUL;45316.48799999
2024-01-16;SUDESTE/CENTRO-OESTE;SUL;35015.02399999
2024-01-17;SUDESTE/CENTRO-OESTE;SUL;-29124.557
2024-01-18;SUDESTE/CENTRO-OESTE;SUL;-56972.60899995
2024-01-19;SUDESTE/CENTRO-OESTE;SUL;-41047.242999990005
2024-01-20;SUDESTE/CENTRO-OESTE;SUL;-55245.02099997
2024-01-21;SUDESTE/CENTRO-OESTE;SUL;-65488.31799997
2024-01-22;SUDESTE/CENTRO-OESTE;SUL;-68217.43599997999
2024-01-23;SUDESTE/CENTRO-OESTE;SUL;-101254.78199999
2024-01-24;SUDESTE/CENTRO-OESTE;SUL;-101965.59499998
2024-01-25;SUDESTE/CENTRO-OESTE;SUL;-86424.01199999
2024-01-26;SUDESTE/CENTRO-OESTE;SUL;-61610.05899995
2024-01-27;SUDESTE/CENTRO-OESTE;SUL;-37638.04499998
2024-01-28;SUDESTE/CENTRO-OESTE;SUL;-38470.55
