din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2022-01-01 00:00:00;N;NORTE;NE;NORDESTE;1559.68500000
2022-01-01 00:00:00;N;NORTE;SE;SUDESTE;6183.74700000
2022-01-01 00:00:00;NE;NORDESTE;SE;SUDESTE;61.32900000
2022-01-01 00:00:00;SE;SUDESTE;S;SUL;6600.12100000
2022-01-01 01:00:00;N;NORTE;NE;NORDESTE;1671.58900000
2022-01-01 01:00:00;N;NORTE;SE;SUDESTE;5940.20200000
2022-01-01 01:00:00;NE;NORDESTE;SE;SUDESTE;-204.27000000
2022-01-01 01:00:00;SE;SUDESTE;S;SUL;6309.40200000
2022-01-01 02:00:00;N;NORTE;NE;NORDESTE;1511.88500000
2022-01-01 02:00:00;N;NORTE;SE;SUDESTE;5886.61300000
2022-01-01 02:00:00;NE;NORDESTE;SE;SUDESTE;-215.64500000
2022-01-01 02:00:00;SE;SUDESTE;S;SUL;6144.81800000
2022-01-01 03:00:00;N;NORTE;NE;NORDESTE;1514.04700000
2022-01-01 03:00:00;N;NORTE;SE;SUDESTE;5871.34800000
2022-01-01 03:00:00;NE;NORDESTE;SE;SUDESTE;-241.51400000
2022-01-01 03:00:00;SE;SUDESTE;S;SUL;6180.31800000
2022-01-01 04:00:00;N;NORTE;NE;NORDESTE;1492.10800000
2022-01-01 04:00:00;N;NORTE;SE;SUDESTE;5947.87500000
2022-01-01 04:00:00;NE;NORDESTE;SE;SUDESTE;-176.91300000
2022-01-01 04:00:00;SE;SUDESTE;S;SUL;6553.09100000
2022-01-01 05:00:00;N;NORTE;NE;NORDESTE;851.49600000
2022-01-01 05:00:00;N;NORTE;SE;SUDESTE;5150.30599999
2022-01-01 05:00:00;NE;NORDESTE;SE;SUDESTE;36.47300000
2022-01-01 05:00:00;SE;SUDESTE;S;SUL;6395.13400000
2022-01-01 06:00:00;N;NORTE;NE;NORDESTE;790.80300000
2022-01-01 06:00:00;N;NORTE;SE;SUDESTE;3828.85800000
2022-01-01 06:00:00;NE;NORDESTE;SE;SUDESTE;258.16199999
2022-01-01 06:00:00;SE;SUDESTE;S;SUL;6093.02800000
2022-01-01 07:00:00;N;NORTE;NE;NORDESTE;-267.60300000
2022-01-01 07:00:00;N;NORTE;SE;SUDESTE;3829.47100000
2022-01-01 07:00:00;NE;NORDESTE;SE;SUDESTE;979.16000000
2022-01-01 07:00:00;SE;SUDESTE;S;SUL;6115.97100000
2022-01-01 08:00:00;N;NORTE;NE;NORDESTE;-925.17700000
2022-01-01 08:00:00;N;NORTE;SE;SUDESTE;3997.72200000
2022-01-01 08:00:00;NE;NORDESTE;SE;SUDESTE;1686.25800000
2022-01-01 08:00:00;SE;SUDESTE;S;SUL;6065.35200000
2022-01-01 09:00:00;N;NORTE;NE;NORDESTE;-1069.83000000
2022-01-01 09:00:00;N;NORTE;SE;SUDESTE;4240.48600000
2022-01-01 09:00:00;NE;NORDESTE;SE;SUDESTE;1937.92100000
2022-01-01 09:00:00;SE;SUDESTE;S;SUL;6077.12900000
2022-01-01 10:00:00;N;NORTE;NE;NORDESTE;-1104.33500000
2022-01-01 10:00:00;N;NORTE;SE;SUDESTE;4916.20400000
2022-01-01 10:00:00;NE;NORDESTE;SE;SUDESTE;2065.69400000
2022-01-01 10:00:00;SE;SUDESTE;S;SUL;6016.09100000
2022-01-01 11:00:00;N;NORTE;NE;NORDESTE;-975.75300000
2022-01-01 11:00:00;N;NORTE;SE;SUDESTE;5475.91100000
2022-01-01 11:00:00;NE;NORDESTE;SE;SUDESTE;1996.27700000
2022-01-01 11:00:00;SE;SUDESTE;S;SUL;6025.16900000
2022-01-01 12:00:00;N;NORTE;NE;NORDESTE;-1031.97700000
2022-01-01 12:00:00;N;NORTE;SE;SUDESTE;5448.39300000
2022-01-01 12:00:00;NE;NORDESTE;SE;SUDESTE;1834.18000000
2022-01-01 12:00:00;SE;SUDESTE;S;SUL;6000.43600000
2022-01-01 13:00:00;N;NORTE;NE;NORDESTE;-1613.34000000
2022-01-01 13:00:00;N;NORTE;SE;SUDESTE;4926.92500000
2022-01-01 13:00:00;NE;NORDESTE;SE;SUDESTE;1641.43900000
2022-01-01 13:00:00;SE;SUDESTE;S;SUL;6056.65600000
2022-01-01 14:00:00;N;NORTE;NE;NORDESTE;-2053.06000000
2022-01-01 14:00:00;N;NORTE;SE;SUDESTE;4814.33400000
2022-01-01 14:00:00;NE;NORDESTE;SE;SUDESTE;1895.83100000
2022-01-01 14:00:00;SE;SUDESTE;S;SUL;6250.72400000
2022-01-01 15:00:00;N;NORTE;NE;NORDESTE;-2355.87100000
2022-01-01 15:00:00;N;NORTE;SE;SUDESTE;5170.18999999
2022-01-01 15:00:00;NE;NORDESTE;SE;SUDESTE;2451.74300000
2022-01-01 15:00:00;SE;SUDESTE;S;SUL;6364.70800000
2022-01-01 16:00:00;N;NORTE;NE;NORDESTE;-1847.64800000
2022-01-01 16:00:00;N;NORTE;SE;SUDESTE;5908.62500000
2022-01-01 16:00:00;NE;NORDESTE;SE;SUDESTE;2924.96500000
2022-01-01 16:00:00;SE;SUDESTE;S;SUL;6791.49000000
2022-01-01 17:00:00;N;NORTE;NE;NORDESTE;-1079.71499999
2022-01-01 17:00:00;N;NORTE;SE;SUDESTE;6994.57700000
2022-01-01 17:00:00;NE;NORDESTE;SE;SUDESTE;2737.22200000
2022-01-01 17:00:00;SE;SUDESTE;S;SUL;7366.67200000
2022-01-01 18:00:00;N;NORTE;NE;NORDESTE;79.95600000
2022-01-01 18:00:00;N;NORTE;SE;SUDESTE;6981.14200000
2022-01-01 18:00:00;NE;NORDESTE;SE;SUDESTE;2122.95800000
2022-01-01 18:00:00;SE;SUDESTE;S;SUL;7239.59200000
2022-01-01 19:00:00;N;NORTE;NE;NORDESTE;477.09100000
2022-01-01 19:00:00;N;NORTE;SE;SUDESTE;8864.75800000
2022-01-01 19:00:00;NE;NORDESTE;SE;SUDESTE;1961.72300000
2022-01-01 19:00:00;SE;SUDESTE;S;SUL;6631.29500000
2022-01-01 20:00:00;N;NORTE;NE;NORDESTE;840.48600000
2022-01-01 20:00:00;N;NORTE;SE;SUDESTE;9957.07599999
2022-01-01 20:00:00;NE;NORDESTE;SE;SUDESTE;1979.41500000
2022-01-01 20:00:00;SE;SUDESTE;S;SUL;7127.24200000
2022-01-01 21:00:00;N;NORTE;NE;NORDESTE;979.80900000
2022-01-01 21:00:00;N;NORTE;SE;SUDESTE;9865.78100000
2022-01-01 21:00:00;NE;NORDESTE;SE;SUDESTE;1819.26300000
2022-01-01 21:00:00;SE;SUDESTE;S;SUL;7260.27900000
2022-01-01 22:00:00;N;NORTE;NE;NORDESTE;1245.33600000
2022-01-01 22:00:00;N;NORTE;SE;SUDESTE;9775.75900000
2022-01-01 22:00:00;NE;NORDESTE;SE;SUDESTE;1644.38200000
2022-01-01 22:00:00;SE;SUDESTE;S;SUL;7855.47500000
2022-01-01 23:00:00;N;NORTE;NE;NORDESTE;1187.09600000
2022-01-01 23:00:00;N;NORTE;SE;SUDESTE;9554.18700000
2022-01-01 23:00:00;NE;NORDESTE;SE;SUDESTE;1583.89300000
2022-01-01 23:00:00;SE;SUDESTE;S;SUL;8096.34500000
2022-01-02 00:00:00;N;NORTE;NE;NORDESTE;974.69900000
2022-01-02 00:00:00;N;NORTE;SE;SUDESTE;9180.42600000
2022-01-02 00:00:00;NE;NORDESTE;SE;SUDESTE;1403.30100000
2022-01-02 00:00:00;SE;SUDESTE;S;SUL;8102.12300000
2022-01-02 01:00:00;N;NORTE;NE;NORDESTE;756.97600000
2022-01-02 01:00:00;N;NORTE;SE;SUDESTE;8222.06600000
2022-01-02 01:00:00;NE;NORDESTE;SE;SUDESTE;1149.38500000
2022-01-02 01:00:00;SE;SUDESTE;S;SUL;7891.01400000
2022-01-02 02:00:00;N;NORTE;NE;NORDESTE;966.44300000
2022-01-02 02:00:00;N;NORTE;SE;SUDESTE;7390.91700000
2022-01-02 02:00:00;NE;NORDESTE;SE;SUDESTE;971.14400000
2022-01-02 02:00:00;SE;SUDESTE;S;SUL;7414.33200000
2022-01-02 03:00:00;N;NORTE;NE;NORDESTE;839.05800000
2022-01-02 03:00:00;N;NORTE;SE;SUDESTE;7012.49500000
2022-01-02 03:00:00;NE;NORDESTE;SE;SUDESTE;647.59200000
2022-01-02 03:00:00;SE;SUDESTE;S;SUL;7096.69500000
2022-01-02 04:00:00;N;NORTE;NE;NORDESTE;672.27599999
2022-01-02 04:00:00;N;NORTE;SE;SUDESTE;6764.37800000
2022-01-02 04:00:00;NE;NORDESTE;SE;SUDESTE;502.54900000
2022-01-02 04:00:00;SE;SUDESTE;S;SUL;6977.37800000
2022-01-02 05:00:00;N;NORTE;NE;NORDESTE;326.95200000
2022-01-02 05:00:00;N;NORTE;SE;SUDESTE;6373.33100000
2022-01-02 05:00:00;NE;NORDESTE;SE;SUDESTE;739.77200000
2022-01-02 05:00:00;SE;SUDESTE;S;SUL;6383.32700000
2022-01-02 06:00:00;N;NORTE;NE;NORDESTE;122.14600000
2022-01-02 06:00:00;N;NORTE;SE;SUDESTE;5951.12700000
2022-01-02 06:00:00;NE;NORDESTE;SE;SUDESTE;966.46200000
2022-01-02 06:00:00;SE;SUDESTE;S;SUL;6131.46400000
2022-01-02 07:00:00;N;NORTE;NE;NORDESTE;-181.11900000
2022-01-02 07:00:00;N;NORTE;SE;SUDESTE;6520.80200000
2022-01-02 07:00:00;NE;NORDESTE;SE;SUDESTE;1415.75400000
2022-01-02 07:00:00;SE;SUDESTE;S;SUL;6437.72000000
2022-01-02 08:00:00;N;NORTE;NE;NORDESTE;-261.61500000
2022-01-02 08:00:00;N;NORTE;SE;SUDESTE;6786.81600000
2022-01-02 08:00:00;NE;NORDESTE;SE;SUDESTE;1623.18400000
2022-01-02 08:00:00;SE;SUDESTE;S;SUL;6535.12900000
2022-01-02 09:00:00;N;NORTE;NE;NORDESTE;-36.06900000
2022-01-02 09:00:00;N;NORTE;SE;SUDESTE;6898.04300000
2022-01-02 09:00:00;NE;NORDESTE;SE;SUDESTE;1643.22600000
2022-01-02 09:00:00;SE;SUDESTE;S;SUL;6442.74800000
2022-01-02 10:00:00;N;NORTE;NE;NORDESTE;93.23200000
2022-01-02 10:00:00;N;NORTE;SE;SUDESTE;7227.57400000
2022-01-02 10:00:00;NE;NORDESTE;SE;SUDESTE;1679.47300000
2022-01-02 10:00:00;SE;SUDESTE;S;SUL;6573.35300000
2022-01-02 11:00:00;N;NORTE;NE;NORDESTE;51.88600000
2022-01-02 11:00:00;N;NORTE;SE;SUDESTE;7174.86000000
2022-01-02 11:00:00;NE;NORDESTE;SE;SUDESTE;1853.27300000
2022-01-02 11:00:00;SE;SUDESTE;S;SUL;6929.92600000
2022-01-02 12:00:00;N;NORTE;NE;NORDESTE;34.67199999
2022-01-02 12:00:00;N;NORTE;SE;SUDESTE;7245.10100000
2022-01-02 12:00:00;NE;NORDESTE;SE;SUDESTE;2034.54700000
2022-01-02 12:00:00;SE;SUDESTE;S;SUL;7244.26800000
2022-01-02 13:00:00;N;NORTE;NE;NORDESTE;-229.21600000
2022-01-02 13:00:00;N;NORTE;SE;SUDESTE;7520.60800000
2022-01-02 13:00:00;NE;NORDESTE;SE;SUDESTE;2285.64800000
2022-01-02 13:00:00;SE;SUDESTE;S;SUL;7508.38400000
2022-01-02 14:00:00;N;NORTE;NE;NORDESTE;-343.68300000
2022-01-02 14:00:00;N;NORTE;SE;SUDESTE;7489.40100000
2022-01-02 14:00:00;NE;NORDESTE;SE;SUDESTE;2392.08800000
2022-01-02 14:00:00;SE;SUDESTE;S;SUL;7680.20900000
2022-01-02 15:00:00;N;NORTE;NE;NORDESTE;-388.94100000
2022-01-02 15:00:00;N;NORTE;SE;SUDESTE;7851.48600000
2022-01-02 15:00:00;NE;NORDESTE;SE;SUDESTE;2675.37199999
2022-01-02 15:00:00;SE;SUDESTE;S;SUL;7604.67200000
2022-01-02 16:00:00;N;NORTE;NE;NORDESTE;-517.75699999
2022-01-02 16:00:00;N;NORTE;SE;SUDESTE;9263.36299999
