din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2024-01-01;N;NORTE;NE;NORDESTE;44758.20499999
2024-01-01;N;NORTE;SE;SUDESTE;-63829.894
2024-01-01;NE;NORDESTE;SE;SUDESTE;-49403.63999999
2024-01-01;SE;SUDESTE;S;SUL;-78008.76999998
2024-01-02;N;NORTE;NE;NORDESTE;45037.59299998
2024-01-02;N;NORTE;SE;SUDESTE;-67918.02299997
2024-01-02;NE;NORDESTE;SE;SUDESTE;-43266.132999990004
2024-01-02;SE;SUDESTE;S;SUL;-106262.42499998
2024-01-03;N;NORTE;NE;NORDESTE;37878.83399998
2024-01-03;N;NORTE;SE;SUDESTE;-55623.59299997
2024-01-03;NE;NORDESTE;SE;SUDESTE;-31545.216
2024-01-03;SE;SUDESTE;S;SUL;-104063.59199998
2024-01-04;N;NORTE;NE;NORDESTE;31021.02499999
2024-01-04;N;NORTE;SE;SUDESTE;-48848.304000000004
2024-01-04;NE;NORDESTE;SE;SUDESTE;-23747.749
2024-01-04;SE;SUDESTE;S;SUL;-91809.24499995
2024-01-05;N;NORTE;NE;NORDESTE;24483.72199999
2024-01-05;N;NORTE;SE;SUDESTE;-43554.95199996
2024-01-05;NE;NORDESTE;SE;SUDESTE;-17379.261999989998
2024-01-05;SE;SUDESTE;S;SUL;-93621.81599999
2024-01-06;N;NORTE;NE;NORDESTE;-7714.506000010001
2024-01-06;N;NORTE;SE;SUDESTE;-33926.57299996
2024-01-06;NE;NORDESTE;SE;SUDESTE;5368.82300001
2024-01-06;SE;SUDESTE;S;SUL;-54810.415
2024-01-07;N;NORTE;NE;NORDESTE;2150.6889999799996
2024-01-07;N;NORTE;SE;SUDESTE;-39582.577
2024-01-07;NE;NORDESTE;SE;SUDESTE;7481.60499998
2024-01-07;SE;SUDESTE;S;SUL;-38209.14099998
2024-01-08;N;NORTE;NE;NORDESTE;33259.98799999
2024-01-08;N;NORTE;SE;SUDESTE;-51930.29699999
2024-01-08;NE;NORDESTE;SE;SUDESTE;-13856.16500001
2024-01-08;SE;SUDESTE;S;SUL;-29334.84599999
2024-01-09;N;NORTE;NE;NORDESTE;6467.84600001
2024-01-09;N;NORTE;SE;SUDESTE;-13899.74100003
2024-01-09;NE;NORDESTE;SE;SUDESTE;40315.01999998
2024-01-09;SE;SUDESTE;S;SUL;2198.599000020001
2024-01-10;N;NORTE;NE;NORDESTE;-12800.95399995
2024-01-10;N;NORTE;SE;SUDESTE;2944.53099998
2024-01-10;NE;NORDESTE;SE;SUDESTE;60811.54699997
2024-01-10;SE;SUDESTE;S;SUL;-177.5649999999996
2024-01-11;N;NORTE;NE;NORDESTE;-9521.35299999
2024-01-11;N;NORTE;SE;SUDESTE;11090.95099999
2024-01-11;NE;NORDESTE;SE;SUDESTE;53872.09499999
2024-01-11;SE;SUDESTE;S;SUL;3745.92299998
2024-01-12;N;NORTE;NE;NORDESTE;9795.53200001
2024-01-12;N;NORTE;SE;SUDESTE;11049.36200001
2024-01-12;NE;NORDESTE;SE;SUDESTE;39146.516999960004
2024-01-12;SE;SUDESTE;S;SUL;-19368.66099997
2024-01-13;N;NORTE;NE;NORDESTE;3675.64299999
2024-01-13;N;NORTE;SE;SUDESTE;-203.69500000000005
2024-01-13;NE;NORDESTE;SE;SUDESTE;33972.876999960004
2024-01-13;SE;SUDESTE;S;SUL;-41378.94399996
2024-01-14;N;NORTE;NE;NORDESTE;-20889.25099999
2024-01-14;N;NORTE;SE;SUDESTE;28294.855999990003
2024-01-14;NE;NORDESTE;SE;SUDESTE;53368.03499999
2024-01-14;SE;SUDESTE;S;SUL;27540.17299998
2024-01-15;N;NORTE;NE;NORDESTE;-20065.93399997
2024-01-15;N;NORTE;SE;SUDESTE;35850.80599997
2024-01-15;NE;NORDESTE;SE;SUDESTE;59665.422999970004
2024-01-15;SE;SUDESTE;S;SUL;45316.48799999
2024-01-16;N;NORTE;NE;NORDESTE;-47905.96399999
2024-01-16;N;NORTE;SE;SUDESTE;59461.859000000004
2024-01-16;NE;NORDESTE;SE;SUDESTE;85158.255
2024-01-16;SE;SUDESTE;S;SUL;35015.02399999
2024-01-17;N;NORTE;NE;NORDESTE;-32519.34799998
2024-01-17;N;NORTE;SE;SUDESTE;59425.77499998
2024-01-17;NE;NORDESTE;SE;SUDESTE;76300.61799998
2024-01-17;SE;SUDESTE;S;SUL;-29124.557
2024-01-18;N;NORTE;NE;NORDESTE;4588.9220000000005
2024-01-18;N;NORTE;SE;SUDESTE;30374.66899998
2024-01-18;NE;NORDESTE;SE;SUDESTE;43845.06699997
2024-01-18;SE;SUDESTE;S;SUL;-56972.608999949996
2024-01-19;N;NORTE;NE;NORDESTE;23271.28499995
2024-01-19;N;NORTE;SE;SUDESTE;18584.48599997
