din_instante;nom_subsistema_origem;nom_subsistema_destino;val_intercambiomwmed
2024-01-01 00:00:00;NORTE;SUDESTE/CENTRO-OESTE;-3760.924
2024-01-01 01:00:00;NORTE;SUDESTE/CENTRO-OESTE;-3717.566
2024-01-01 02:00:00;NORTE;SUDESTE/CENTRO-OESTE;-3779.421
2024-01-01 03:00:00;NORTE;SUDESTE/CENTRO-OESTE;-3657.991
2024-01-01 04:00:00;NORTE;SUDESTE/CENTRO-OESTE;-3611.318
2024-01-01 05:00:00;NORTE;SUDESTE/CENTRO-OESTE;-3580.115
2024-01-01 06:00:00;NORTE;SUDESTE/CENTRO-OESTE;-3406.35
2024-01-01 07:00:00;NORTE;SUDESTE/CENTRO-OESTE;-2898.352
2024-01-01 08:00:00;NORTE;SUDESTE/CENTRO-OESTE;-2307.81
2024-01-01 09:00:00;NORTE;SUDESTE/CENTRO-OESTE;-1433.69
2024-01-01 10:00:00;NORTE;SUDESTE/CENTRO-OESTE;-1298.205
2024-01-01 11:00:00;NORTE;SUDESTE/CENTRO-OESTE;-936.311
2024-01-01 12:00:00;NORTE;SUDESTE/CENTRO-OESTE;-1030.645
2024-01-01 13:00:00;NORTE;SUDESTE/CENTRO-OESTE;-1177.688
2024-01-01 14:00:00;NORTE;SUDESTE/CENTRO-OESTE;-1000.299
2024-01-01 15:00:00;NORTE;SUDESTE/CENTRO-OESTE;-1201.486
2024-01-01 16:00:00;NORTE;SUDESTE/CENTRO-OESTE;-1654.951
2024-01-01 17:00:00;NORTE;SUDESTE/CENTRO-OESTE;-2204.224
2024-01-01 18:00:00;NORTE;SUDESTE/CENTRO-OESTE;-2629.681
2024-01-01 19:00:00;NORTE;SUDESTE/CENTRO-OESTE;-3424.848
2024-01-01 20:00:00;NORTE;SUDESTE/CENTRO-OESTE;-3459.963
2024-01-01 21:00:00;NORTE;SUDESTE/CENTRO-OESTE;-3631.262
2024-01-01 22:00:00;NORTE;SUDESTE/CENTRO-OESTE;-3960.874
2024-01-01 23:00:00;NORTE;SUDESTE/CENTRO-OESTE;-4065.92
2024-01-02 00:00:00;NORTE;SUDESTE/CENTRO-OESTE;-4459.185
2024-01-02 01:00:00;NORTE;SUDESTE/CENTRO-OESTE;-4488.799
2024-01-02 02:00:00;NORTE;SUDESTE/CENTRO-OESTE;-4471.542
2024-01-02 03:00:00;NORTE;SUDESTE/CENTRO-OESTE;-4394.576
2024-01-02 04:00:00;NORTE;SUDESTE/CENTRO-OESTE;-4395.48899999
2024-01-02 05:00:00;NORTE;SUDESTE/CENTRO-OESTE;-4221.30599999
2024-01-02 06:00:00;NORTE;SUDESTE/CENTRO-OESTE;-3711.906
2024-01-02 07:00:00;NORTE;SUDESTE/CENTRO-OESTE;-2922.487
2024-01-02 08:00:00;NORTE;SUDESTE/CENTRO-OESTE;-2800.424
